experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,1.0,0.8347944946289062,0.8395671844482422,0.6398412698412699,0.6390234093110869,0.41083333333333333,0.8972916666666667,0.8680657745296528
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,2.0,0.7679315185546876,0.8306636214256287,0.6425793650793651,0.6415181271300241,0.41023809523809524,0.8974404761904762,0.8660769430000199
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,3.0,0.665919677734375,0.8567725419998169,0.6476984126984127,0.6467526085793752,0.4008333333333333,0.8997916666666667,0.8724742642368574
