experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__bert-base-uncased__fine_tuned,1.0,0.8436675415039062,0.832785964012146,0.636547619047619,0.6312519333020183,0.4191269841269841,0.8952182539682539,0.8663547832728662
transformer__bert-base-uncased__fine_tuned,2.0,0.7848961181640625,0.8156206011772156,0.6463888888888889,0.6450701302086355,0.40015873015873016,0.8999603174603175,0.8743079279067028
transformer__bert-base-uncased__fine_tuned,3.0,0.6905020751953125,0.8595535755157471,0.6445634920634921,0.6433780471700343,0.4030952380952381,0.8992261904761905,0.8727465119924753
