seed,model,variant,experiment,family,status,best_epoch,best_epoch_train_loss,best_epoch_val_loss,train_seconds,eval_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
42,bert-base-uncased,fine_tuned,transformer__bert-base-uncased__fine_tuned,transformer,ok,2.0,0.7797437744140625,0.8281131982803345,3665.965019683994,40.11291359702591,0.6407142857142857,0.6376346380017257,0.411468253968254,0.8971329365079365,0.8699172139265213,Final eval score=0.89713
43,bert-base-uncased,fine_tuned,transformer__bert-base-uncased__fine_tuned,transformer,ok,3.0,0.6697450561523437,0.8811420202255249,3709.239206143015,41.04565319197718,0.6390476190476191,0.6375032712691628,0.4125,0.896875,0.8686955586622218,Final eval score=0.89687
44,bert-base-uncased,fine_tuned,transformer__bert-base-uncased__fine_tuned,transformer,ok,2.0,0.7848961181640625,0.8156206011772156,3702.433268313994,40.25003660400398,0.6463888888888889,0.6450701302086355,0.4001587301587301,0.8999603174603175,0.8743079279067028,Final eval score=0.89997
42,distilbert-base-uncased,fine_tuned,transformer__distilbert-base-uncased__fine_tuned,transformer,ok,3.0,0.71644140625,0.8651266694068909,2280.4644134469563,22.89336942898808,0.6362698412698413,0.6354986147917124,0.4178571428571428,0.8955357142857143,0.8637928659964192,Final eval score=0.89554
43,distilbert-base-uncased,fine_tuned,transformer__distilbert-base-uncased__fine_tuned,transformer,ok,3.0,0.7071370239257813,0.8680473566055298,2181.427628625999,22.11935032805195,0.6396428571428572,0.6378525606779059,0.4144444444444444,0.8963888888888889,0.8666562664534623,Final eval score=0.89639
44,distilbert-base-uncased,fine_tuned,transformer__distilbert-base-uncased__fine_tuned,transformer,ok,3.0,0.7250439453125,0.8566902875900269,2196.0584086339804,22.485874378995504,0.6421428571428571,0.6407181598418777,0.4088492063492063,0.8977876984126985,0.8697301154413849,Final eval score=0.89779
42,nlptown/bert-base-multilingual-uncased-sentiment,eval_only,transformer__nlptown__bert-base-multilingual-uncased-sentiment__eval_only,transformer,ok,0.0,,0.8360511064529419,0.0,35.198829975008266,0.6340079365079365,0.6284723078327853,0.426547619047619,0.8933630952380952,0.8632531087422458,Final eval score=0.89336
43,nlptown/bert-base-multilingual-uncased-sentiment,eval_only,transformer__nlptown__bert-base-multilingual-uncased-sentiment__eval_only,transformer,ok,0.0,,0.8404759764671326,0.0,36.0666448600241,0.6389285714285714,0.6334623683025564,0.4224206349206349,0.8943948412698413,0.8636685920645875,Final eval score=0.89439
44,nlptown/bert-base-multilingual-uncased-sentiment,eval_only,transformer__nlptown__bert-base-multilingual-uncased-sentiment__eval_only,transformer,ok,0.0,,0.8321918249130249,0.0,35.51185932199587,0.6381746031746032,0.6325354474567346,0.4221031746031746,0.8944742063492064,0.8645655475581802,Final eval score=0.89447
42,nlptown/bert-base-multilingual-uncased-sentiment,fine_tuned,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,transformer,ok,3.0,0.6793101196289062,0.8472365736961365,3910.166201771004,35.393499273006455,0.648968253968254,0.6479692790911491,0.399047619047619,0.9002380952380953,0.8730426592362936,Final eval score=0.90024
43,nlptown/bert-base-multilingual-uncased-sentiment,fine_tuned,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,transformer,ok,3.0,0.665919677734375,0.8567725419998169,3813.204409359998,35.845813856998575,0.6476984126984127,0.6467526085793752,0.4008333333333333,0.8997916666666667,0.8724742642368574,Final eval score=0.89979
44,nlptown/bert-base-multilingual-uncased-sentiment,fine_tuned,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,transformer,ok,3.0,0.6806090698242188,0.8403950929641724,3845.747297060007,35.252858065010514,0.6568253968253969,0.6556089394142903,0.3901984126984127,0.9024503968253968,0.876525449438752,Final eval score=0.90245
42,roberta-base,fine_tuned,transformer__roberta-base__fine_tuned,transformer,ok,3.0,0.7242669067382812,0.8328005075454712,3844.3495066679898,39.81995752999501,0.6481746031746032,0.6464502699742678,0.3980555555555555,0.9004861111111111,0.8755976667867681,Final eval score=0.90049
43,roberta-base,fine_tuned,transformer__roberta-base__fine_tuned,transformer,ok,3.0,0.7162930297851563,0.8474258780479431,3869.396969778012,39.87276205800299,0.6482539682539683,0.646856328085958,0.4016666666666666,0.8995833333333333,0.8719396627523007,Final eval score=0.89958
44,roberta-base,fine_tuned,transformer__roberta-base__fine_tuned,transformer,ok,3.0,0.7323959350585938,0.8275402784347534,3828.898230565988,40.33795783799724,0.6546031746031746,0.6525790293180405,0.3912301587301587,0.9021924603174604,0.877319377421328,Final eval score=0.90219
