seed,experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
42,transformer__bert-base-uncased__fine_tuned,1.0,0.8532687377929687,0.8577613234519958,0.6311507936507936,0.632138736254971,0.4226190476190476,0.8943452380952381,0.8595862846104314
42,transformer__bert-base-uncased__fine_tuned,2.0,0.7797437744140625,0.8281131982803345,0.6407142857142857,0.6376346380017257,0.411468253968254,0.8971329365079365,0.8699172139265213
42,transformer__bert-base-uncased__fine_tuned,3.0,0.6777520751953126,0.8725898861885071,0.6399603174603175,0.6385154682432631,0.411547619047619,0.8971130952380952,0.8684521888781327
43,transformer__bert-base-uncased__fine_tuned,1.0,0.8453292846679688,0.8724440336227417,0.631031746031746,0.6300041956112912,0.4276587301587302,0.8930853174603175,0.8579513411364288
43,transformer__bert-base-uncased__fine_tuned,2.0,0.7817238159179688,0.8442577123641968,0.636984126984127,0.6345698405414308,0.4204365079365079,0.894890873015873,0.8621841288606473
43,transformer__bert-base-uncased__fine_tuned,3.0,0.6697450561523437,0.8811420202255249,0.6390476190476191,0.6375032712691628,0.4125,0.896875,0.8686955586622218
44,transformer__bert-base-uncased__fine_tuned,1.0,0.8436675415039062,0.832785964012146,0.636547619047619,0.6312519333020183,0.4191269841269841,0.8952182539682539,0.8663547832728662
44,transformer__bert-base-uncased__fine_tuned,2.0,0.7848961181640625,0.8156206011772156,0.6463888888888889,0.6450701302086355,0.4001587301587301,0.8999603174603175,0.8743079279067028
44,transformer__bert-base-uncased__fine_tuned,3.0,0.6905020751953125,0.8595535755157471,0.6445634920634921,0.6433780471700343,0.4030952380952381,0.8992261904761905,0.8727465119924753
42,transformer__distilbert-base-uncased__fine_tuned,1.0,0.8677172241210938,0.8644684553146362,0.6254761904761905,0.6266018712483075,0.4328571428571429,0.8917857142857143,0.8543472576979546
42,transformer__distilbert-base-uncased__fine_tuned,2.0,0.804037353515625,0.8416249752044678,0.634484126984127,0.6297865418534911,0.4257539682539683,0.8935615079365079,0.8622965495566709
42,transformer__distilbert-base-uncased__fine_tuned,3.0,0.71644140625,0.8651266694068909,0.6362698412698413,0.6354986147917124,0.4178571428571428,0.8955357142857143,0.8637928659964192
43,transformer__distilbert-base-uncased__fine_tuned,1.0,0.8575513305664062,0.8764293193817139,0.6251587301587301,0.6245151634387396,0.4345238095238095,0.8913690476190477,0.8555383884002852
43,transformer__distilbert-base-uncased__fine_tuned,2.0,0.79879736328125,0.850341260433197,0.6301587301587301,0.6284074261551247,0.4271428571428571,0.8932142857142857,0.8588712887049271
43,transformer__distilbert-base-uncased__fine_tuned,3.0,0.7071370239257813,0.8680473566055298,0.6396428571428572,0.6378525606779059,0.4144444444444444,0.8963888888888889,0.8666562664534623
44,transformer__distilbert-base-uncased__fine_tuned,1.0,0.861197265625,0.8520432710647583,0.6290873015873016,0.6244877710550826,0.4315079365079365,0.8921230158730159,0.8599509540960993
44,transformer__distilbert-base-uncased__fine_tuned,2.0,0.8038603515625,0.8315536379814148,0.6386111111111111,0.6380976555299968,0.4126984126984127,0.8968253968253969,0.8669531296409972
44,transformer__distilbert-base-uncased__fine_tuned,3.0,0.7250439453125,0.8566902875900269,0.6421428571428571,0.6407181598418777,0.4088492063492063,0.8977876984126985,0.8697301154413849
42,transformer__nlptown__bert-base-multilingual-uncased-sentiment__eval_only,0.0,,0.8360511064529419,0.6340079365079365,0.6284723078327853,0.426547619047619,0.8933630952380952,0.8632531087422458
43,transformer__nlptown__bert-base-multilingual-uncased-sentiment__eval_only,0.0,,0.8404759764671326,0.6389285714285714,0.6334623683025564,0.4224206349206349,0.8943948412698413,0.8636685920645875
44,transformer__nlptown__bert-base-multilingual-uncased-sentiment__eval_only,0.0,,0.8321918249130249,0.6381746031746032,0.6325354474567346,0.4221031746031746,0.8944742063492064,0.8645655475581802
42,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,1.0,0.8347383422851562,0.8362856507301331,0.6357142857142857,0.6384433510725696,0.4116666666666667,0.8970833333333333,0.8648576749135408
42,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,2.0,0.7722295532226563,0.8131055235862732,0.6463095238095238,0.6447632141706876,0.4027380952380952,0.8993154761904762,0.8724777339757629
42,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,3.0,0.6793101196289062,0.8472365736961365,0.648968253968254,0.6479692790911491,0.399047619047619,0.9002380952380953,0.8730426592362936
43,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,1.0,0.8347944946289062,0.8395671844482422,0.6398412698412699,0.6390234093110869,0.4108333333333333,0.8972916666666667,0.8680657745296528
43,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,2.0,0.7679315185546876,0.8306636214256287,0.6425793650793651,0.6415181271300241,0.4102380952380952,0.8974404761904762,0.8660769430000199
43,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,3.0,0.665919677734375,0.8567725419998169,0.6476984126984127,0.6467526085793752,0.4008333333333333,0.8997916666666667,0.8724742642368574
44,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,1.0,0.82512451171875,0.8166517615318298,0.6436904761904761,0.6388935976083406,0.4076190476190476,0.8980952380952381,0.8719761531700233
44,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,2.0,0.7732977905273437,0.8050354719161987,0.6549603174603175,0.6547410890743498,0.3907539682539682,0.902311507936508,0.8759176152405861
44,transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,3.0,0.6806090698242188,0.8403950929641724,0.6568253968253969,0.6556089394142903,0.3901984126984127,0.9024503968253968,0.876525449438752
42,transformer__roberta-base__fine_tuned,1.0,0.85322216796875,0.8496405482292175,0.6345238095238095,0.6347242479945551,0.4173015873015873,0.8956746031746032,0.8630407861622658
42,transformer__roberta-base__fine_tuned,2.0,0.7939695434570313,0.8234409093856812,0.6435714285714286,0.6402468272459285,0.4047619047619047,0.8988095238095238,0.8736659603159314
42,transformer__roberta-base__fine_tuned,3.0,0.7242669067382812,0.8328005075454712,0.6481746031746032,0.6464502699742678,0.3980555555555555,0.9004861111111111,0.8755976667867681
43,transformer__roberta-base__fine_tuned,1.0,0.8528228149414062,0.8760496377944946,0.6356746031746032,0.6329015111433269,0.425515873015873,0.8936210317460318,0.8595063816550503
43,transformer__roberta-base__fine_tuned,2.0,0.7982481689453125,0.8353937268257141,0.6449206349206349,0.6441206863133944,0.4081746031746032,0.8979563492063491,0.8663694444997313
43,transformer__roberta-base__fine_tuned,3.0,0.7162930297851563,0.8474258780479431,0.6482539682539683,0.646856328085958,0.4016666666666666,0.8995833333333333,0.8719396627523007
44,transformer__roberta-base__fine_tuned,1.0,0.8464276123046875,0.8341236710548401,0.6399603174603175,0.6329277699854429,0.4150793650793651,0.8962301587301588,0.867871965432941
44,transformer__roberta-base__fine_tuned,2.0,0.8018472900390625,0.8097348809242249,0.6529365079365079,0.6506133632978871,0.3936904761904762,0.9015773809523808,0.8758776255529407
44,transformer__roberta-base__fine_tuned,3.0,0.7323959350585938,0.8275402784347534,0.6546031746031746,0.6525790293180405,0.3912301587301587,0.9021924603174604,0.877319377421328
42,transformer__xlm-roberta-large__fine_tuned,1.0,0.8491395263671875,0.8490684032440186,0.6406349206349207,0.6408881716314159,0.4003968253968254,0.8999007936507937,0.873704298915227
42,transformer__xlm-roberta-large__fine_tuned,2.0,0.7956932373046876,0.8214256167411804,0.6596825396825396,0.6586228098339294,0.3815873015873016,0.9046031746031746,0.8816236713362281
42,transformer__xlm-roberta-large__fine_tuned,3.0,0.7032880249023438,0.8223820924758911,0.6621031746031746,0.6606683657267227,0.3766666666666666,0.9058333333333334,0.8850334692921684
43,transformer__xlm-roberta-large__fine_tuned,1.0,0.8400405883789063,0.8592736124992371,0.6406349206349207,0.6332408337737994,0.4151587301587301,0.8962103174603174,0.8701190858135014
43,transformer__xlm-roberta-large__fine_tuned,2.0,0.7817919311523438,0.8176517486572266,0.6514285714285715,0.6497790284852749,0.3979761904761905,0.9005059523809524,0.8726376497264258
43,transformer__xlm-roberta-large__fine_tuned,3.0,0.7173770141601562,0.8146582245826721,0.6634523809523809,0.662362175396813,0.3751190476190476,0.906220238095238,0.8850659216781845
44,transformer__xlm-roberta-large__fine_tuned,1.0,0.8690950927734375,0.8406688570976257,0.640515873015873,0.638291008847998,0.4094444444444444,0.8976388888888889,0.8690132264213981
44,transformer__xlm-roberta-large__fine_tuned,2.0,0.7838564453125,0.7954015731811523,0.6609920634920635,0.656672180803113,0.3805555555555555,0.9048611111111112,0.8836265223274695
44,transformer__xlm-roberta-large__fine_tuned,3.0,0.7308712768554687,0.7992641925811768,0.6686111111111112,0.667435445880326,0.367579365079365,0.9081051587301588,0.8883625793949833
