model,variant,cil_score_mean,cil_score_std,mae_mean,mae_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
nlptown/bert-base-multilingual-uncased-sentiment,fine_tuned,0.9008267195767196,0.0014237522513594603,0.3966931216931217,0.005695009005437658,0.6511640211640212,0.004943835049540075,0.6501102756949382,0.004800682118974833
roberta-base,fine_tuned,0.9007539682539681,0.0013250269776724148,0.39698412698412694,0.005300107910689482,0.6503439153439153,0.0036888401676062185,0.6486285424594221,0.0034272409621449867
bert-base-uncased,fine_tuned,0.897989417989418,0.0017117144486816398,0.408042328042328,0.006846857794726591,0.6420502645502646,0.003848660846089501,0.6400693464931747,0.004331303802692591
distilbert-base-uncased,fine_tuned,0.8965707671957673,0.0011369555470341895,0.41371693121693115,0.004547822188136741,0.6393518518518518,0.0029473024820535127,0.6380231117704986,0.0026139488114851873
nlptown/bert-base-multilingual-uncased-sentiment,eval_only,0.894077380952381,0.0006198610853894009,0.42369047619047623,0.00247944434155765,0.637037037037037,0.0026502272626221174,0.6314900411973587,0.002654210157155977
