experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,1.0,0.82512451171875,0.8166517615318298,0.6436904761904761,0.6388935976083406,0.4076190476190476,0.8980952380952381,0.8719761531700233
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,2.0,0.7732977905273437,0.8050354719161987,0.6549603174603175,0.6547410890743498,0.39075396825396824,0.9023115079365079,0.8759176152405861
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,3.0,0.6806090698242188,0.8403950929641724,0.6568253968253969,0.6556089394142903,0.3901984126984127,0.9024503968253968,0.876525449438752
