family,cil_score_mean,cil_score_std,mae_mean,mae_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
tfidf_word,0.8737433862433862,0.0021024803561161616,0.505026455026455,0.008409921424464529,0.5947619047619047,0.004052867745368918,0.5915061535705527,0.004988561501672079
tfidf_char,0.8683630952380952,0.0008125841817351067,0.526547619047619,0.003250336726940533,0.5820899470899471,0.0016912088235313913,0.5786456407962919,0.001535656483742382
bow,0.8663194444444445,0.0011662127261785745,0.5347222222222222,0.004664850904714429,0.5691666666666667,0.001497983022871175,0.5668093102159628,0.0023567144943767685
fasttext,0.8175628306878306,0.0003989690775623374,0.7297486772486773,0.0015958763102492488,0.4958465608465608,0.007149945042987867,0.4869070790051449,0.002163112109121907
glove,0.8000165343915344,0.0011403265311811797,0.7999338624338624,0.004561306124724638,0.4597751322751322,0.0033859075147583155,0.45360063344031926,0.0037059684873414493
majority,0.5,0.0,2.0,0.0,0.20000000000000004,0.0,0.0666666666666666,0.0
