seed,experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
44,tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2200182499946095,0.0194517170020844,0.5721428571428572,0.5548827027867043,0.5676587301587301,0.8580853174603175,0.7919874549272191,"feature_seconds=69.57; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
42,tfidf_char__char_wb_3_6__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,ridge_classifier,ok,401.690972951008,0.0894325219851452,0.5608333333333333,0.5525497939885808,0.5688888888888889,0.8577777777777778,0.7881971149336885,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
44,tfidf_char__char_wb_3_6__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,ridge_classifier,ok,416.4702510830248,0.1080327300005592,0.5638095238095238,0.5557409246140945,0.5695634920634921,0.857609126984127,0.7847010336378231,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
43,tfidf_char__char_wb_3_6__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,ridge_classifier,ok,412.5497406570066,0.0857787590066436,0.5611111111111111,0.5527250405417043,0.5706746031746032,0.8573313492063492,0.7865503937820916,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
44,tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,95.4147671610117,0.0872304940130561,0.558968253968254,0.5532476545919947,0.5712698412698413,0.8571825396825397,0.7837889359106333,"feature_seconds=95.39; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91889611"
42,tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,91.97830096600228,0.0889164870022796,0.5553571428571429,0.5493506498080453,0.5738888888888889,0.8565277777777778,0.7846809806608802,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
43,tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,103.42139564899844,0.0850896329793613,0.5569444444444445,0.5508739415525676,0.5739285714285715,0.8565178571428571,0.7834391871946981,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
44,bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.248436538997339,0.0222717199940234,0.5696031746031746,0.551888365677015,0.575595238095238,0.8561011904761905,0.7873383939696539,"feature_seconds=62.02; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13030807"
42,bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2418035400041844,0.0174022150167729,0.5684523809523809,0.550950847810098,0.5765476190476191,0.8558630952380952,0.7865922183188949,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
43,tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.2047061060147825,0.0151829859823919,0.5648015873015872,0.5470096029800902,0.581468253968254,0.8546329365079365,0.7843043489811642,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
