experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.009343426005216315,0.00020570398191921413,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,41.527944753004704,0.020493552990956232,0.568968253968254,0.5682507818824234,0.5296825396825396,0.8675793650793651,0.8082878049742609,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,258.8947502730007,0.022134144004667178,0.515436507936508,0.5142849371686895,0.6422619047619048,0.8394345238095238,0.7416674042821034,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1111.4154285900004,0.025205420999554917,0.46773809523809523,0.46544067511339354,0.7779761904761905,0.8055059523809524,0.6462147741350215,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.24180354000418447,0.01740221501677297,0.5684523809523809,0.550950847810098,0.5765476190476191,0.8558630952380952,0.7865922183188949,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,42.306953795981826,0.02385557899833657,0.5955952380952381,0.5928391786405746,0.5013888888888889,0.8746527777777777,0.8167587922672578,"feature_seconds=60.99; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_3__linear_svm,tfidf_word,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,19.950491355004488,0.017690677021164447,0.5617063492063492,0.557980409159938,0.555,0.86125,0.7945136772252016,"feature_seconds=60.99; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_3__ridge_classifier,tfidf_word,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,46.28317249199608,0.02519253600621596,0.5687698412698413,0.5630565728352513,0.5467063492063492,0.8633234126984127,0.7995433572753651,"feature_seconds=60.99; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.19320045202039182,0.01633733999915421,0.571031746031746,0.5537839433330844,0.566468253968254,0.8583829365079365,0.7932853887149838,"feature_seconds=60.99; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,159.85411158498027,0.09385796802234836,0.5838492063492063,0.5803989082158825,0.5228968253968254,0.8692757936507937,0.8059580308727298,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,91.97830096600228,0.08891648700227961,0.5553571428571429,0.5493506498080453,0.5738888888888889,0.8565277777777778,0.7846809806608802,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
tfidf_char__char_wb_3_6__ridge_classifier,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,ridge_classifier,ok,401.690972951008,0.08943252198514529,0.5608333333333333,0.5525497939885808,0.5688888888888889,0.8577777777777778,0.7881971149336885,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
tfidf_char__char_wb_3_6__complement_nb,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,complement_nb,ok,0.8534165720047895,0.07641730600153096,0.5350396825396826,0.5135873984889716,0.6652380952380952,0.8336904761904762,0.7347009554858064,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
glove__average__logreg,glove,glove average,average,logreg,ok,30.584500261989888,0.04759161898982711,0.45615079365079364,0.4494236508762688,0.8051587301587302,0.7987103174603174,0.6360238598610692,feature_seconds=45.25; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__average__linear_svm,glove,glove average,average,linear_svm,ok,202.3212251100049,0.04654224400292151,0.46464285714285714,0.44435343477759554,0.8225396825396826,0.7943650793650794,0.6382414882414882,feature_seconds=45.25; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__average__ridge_classifier,glove,glove average,average,ridge_classifier,ok,0.8720706999883987,0.019843839021632448,0.460515873015873,0.44008955221261103,0.8374206349206349,0.7906448412698412,0.6278176744836996,feature_seconds=45.25; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__logreg,glove,glove tfidf_weighted,tfidf_weighted,logreg,ok,31.558315884991316,0.044538187998114154,0.43757936507936507,0.4307771419005394,0.8590873015873016,0.7852281746031746,0.5996439437468798,feature_seconds=44.59; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__linear_svm,glove,glove tfidf_weighted,tfidf_weighted,linear_svm,ok,177.72857054899214,0.044145813008071855,0.44023809523809526,0.41888181549930537,0.8948015873015873,0.7762996031746032,0.5931756244939184,feature_seconds=44.59; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__tfidf_weighted__ridge_classifier,glove,glove tfidf_weighted,tfidf_weighted,ridge_classifier,ok,0.8949213699961547,0.014812601992161945,0.43567460317460316,0.4140477225185095,0.9071825396825397,0.7732043650793651,0.5860809039861833,feature_seconds=44.59; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__mean_max__logreg,glove,glove mean_max,mean_max,logreg,ok,52.58560531999683,0.1070255700033158,0.44555555555555554,0.44009943700924214,0.842579365079365,0.7893551587301587,0.6061642209241582,feature_seconds=41.72; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__mean_max__linear_svm,glove,glove mean_max,mean_max,linear_svm,ok,335.9781058100052,0.09264886900200509,0.4672222222222222,0.4497195394021404,0.816468253968254,0.7958829365079365,0.6384138169747855,feature_seconds=41.72; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
glove__mean_max__ridge_classifier,glove,glove mean_max,mean_max,ridge_classifier,ok,1.9803068750188686,0.04209480798454024,0.45936507936507937,0.44241218352349393,0.8426190476190476,0.7893452380952382,0.6191584633426916,feature_seconds=41.72; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,33.71357366902521,0.052217830991139635,0.48932539682539683,0.48443440264404797,0.7279761904761904,0.8180059523809524,0.6818847165749821,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__average__linear_svm,fasttext,fasttext average,average,linear_svm,ok,127.70003270800225,0.12311973198666237,0.49396825396825395,0.4772328948046036,0.7536904761904762,0.811577380952381,0.6751580962262632,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__average__ridge_classifier,fasttext,fasttext average,average,ridge_classifier,ok,1.0055296850041486,0.01601024900446646,0.4882142857142857,0.4708861546722304,0.7666666666666667,0.8083333333333333,0.6668751451904005,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,33.05011182100861,0.06190961500396952,0.4652777777777778,0.4592927862705637,0.7966666666666666,0.8008333333333333,0.6373940898838069,feature_seconds=107.06; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__linear_svm,fasttext,fasttext tfidf_weighted,tfidf_weighted,linear_svm,ok,95.69789076398592,0.05133122400729917,0.4658333333333333,0.44765239138198404,0.8357936507936508,0.7910515873015873,0.6226264842768409,feature_seconds=107.06; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__tfidf_weighted__ridge_classifier,fasttext,fasttext tfidf_weighted,tfidf_weighted,ridge_classifier,ok,0.8772447780065704,0.018654333020094782,0.4636904761904762,0.4447928269145856,0.8440079365079365,0.7889980158730159,0.6174298896406927,feature_seconds=107.06; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,54.47618700301973,0.10008893598569557,0.4773809523809524,0.47129479601712915,0.7746825396825396,0.806329365079365,0.6491091883295151,feature_seconds=97.94; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__linear_svm,fasttext,fasttext mean_max,mean_max,linear_svm,ok,237.09750816400629,0.07502155299880542,0.5046428571428572,0.4895370550274021,0.7300793650793651,0.8174801587301588,0.686795853988283,feature_seconds=97.94; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
fasttext__mean_max__ridge_classifier,fasttext,fasttext mean_max,mean_max,ridge_classifier,ok,2.0249433340213727,0.03006746098981239,0.4959126984126984,0.4809760137470412,0.7558333333333334,0.8110416666666667,0.6678458303628636,feature_seconds=97.94; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
