experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.009343426005216315,0.00020570398191921413,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,41.527944753004704,0.020493552990956232,0.568968253968254,0.5682507818824234,0.5296825396825396,0.8675793650793651,0.8082878049742609,"feature_seconds=58.76; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,42.306953795981826,0.02385557899833657,0.5955952380952381,0.5928391786405746,0.5013888888888889,0.8746527777777777,0.8167587922672578,"feature_seconds=60.99; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13026421"
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,159.85411158498027,0.09385796802234836,0.5838492063492063,0.5803989082158825,0.5228968253968254,0.8692757936507937,0.8059580308727298,"feature_seconds=86.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91814298"
glove__average__logreg,glove,glove average,average,logreg,ok,30.584500261989888,0.04759161898982711,0.45615079365079364,0.4494236508762688,0.8051587301587302,0.7987103174603174,0.6360238598610692,feature_seconds=45.25; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,33.71357366902521,0.052217830991139635,0.48932539682539683,0.48443440264404797,0.7279761904761904,0.8180059523809524,0.6818847165749821,feature_seconds=98.75; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
