experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__xlm-roberta-large__fine_tuned,1.0,0.8690950927734375,0.8406688570976257,0.640515873015873,0.638291008847998,0.40944444444444444,0.8976388888888889,0.8690132264213981
transformer__xlm-roberta-large__fine_tuned,2.0,0.7838564453125,0.7954015731811523,0.6609920634920635,0.656672180803113,0.38055555555555554,0.9048611111111111,0.8836265223274695
transformer__xlm-roberta-large__fine_tuned,3.0,0.7308712768554687,0.7992641925811768,0.6686111111111112,0.667435445880326,0.36757936507936506,0.9081051587301587,0.8883625793949833
