experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__roberta-base__fine_tuned,1.0,0.9503001680996472,0.8551077246665955,0.6321428571428571,0.6330054917218579,0.4173015873015873,0.8956746031746032,0.8634663971702881
transformer__roberta-base__fine_tuned,2.0,0.8002053020282187,0.8287681341171265,0.6451587301587302,0.6412108909624039,0.40555555555555556,0.8986111111111111,0.8726383555886679
transformer__roberta-base__fine_tuned,3.0,0.7247147817460318,0.833347737789154,0.6507539682539683,0.6492033417952913,0.3954761904761905,0.9011309523809524,0.8757707016311559
