experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__distilbert-base-uncased__fine_tuned,1.0,1.0207103271484375,1.0276190042495728,0.5650396825396825,0.5711942636554718,0.5193650793650794,0.8701587301587301,0.8048894062863795
transformer__distilbert-base-uncased__fine_tuned,2.0,0.977381103515625,0.9693479537963867,0.5861111111111111,0.5873837409403919,0.49853174603174605,0.8753670634920635,0.8206594244330093
transformer__distilbert-base-uncased__fine_tuned,3.0,0.9205768432617187,0.972884476184845,0.5833333333333334,0.5757913472259988,0.5189285714285714,0.8702678571428571,0.8145217854838257
transformer__distilbert-base-uncased__fine_tuned,4.0,0.843310791015625,0.9533739686012268,0.5937301587301588,0.5908820021245517,0.4942063492063492,0.8764484126984127,0.8245573294629899
transformer__distilbert-base-uncased__fine_tuned,5.0,0.7826690063476562,0.970619261264801,0.5930952380952381,0.5917557690031717,0.49234126984126986,0.8769146825396825,0.8254092505797512
