experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__distilbert-base-uncased__fine_tuned,1.0,0.9651669973544974,0.8644684553146362,0.6254761904761905,0.6266018712483075,0.4328571428571429,0.8917857142857143,0.8543472576979546
transformer__distilbert-base-uncased__fine_tuned,2.0,0.8027328593474427,0.8416249752044678,0.634484126984127,0.6297865418534911,0.4257539682539683,0.8935615079365079,0.8622965495566709
transformer__distilbert-base-uncased__fine_tuned,3.0,0.7155488729056437,0.8651266694068909,0.6362698412698413,0.6354986147917124,0.41785714285714287,0.8955357142857143,0.8637928659964192
