experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__roberta-base__fine_tuned,1.0,0.8464276123046875,0.8341236710548401,0.6399603174603175,0.6329277699854429,0.4150793650793651,0.8962301587301588,0.867871965432941
transformer__roberta-base__fine_tuned,2.0,0.8018472900390625,0.8097348809242249,0.6529365079365079,0.6506133632978871,0.3936904761904762,0.9015773809523809,0.8758776255529407
transformer__roberta-base__fine_tuned,3.0,0.7323959350585938,0.8275402784347534,0.6546031746031746,0.6525790293180405,0.3912301587301587,0.9021924603174604,0.877319377421328
