experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__bert-base-uncased__fine_tuned,1.0,0.955441192680776,0.8623241186141968,0.630515873015873,0.6321246176662194,0.42103174603174603,0.8947420634920635,0.8598944591029024
transformer__bert-base-uncased__fine_tuned,2.0,0.7841832699514991,0.8301405310630798,0.6407936507936508,0.6375197997949973,0.4123015873015873,0.8969246031746032,0.8692697535130154
transformer__bert-base-uncased__fine_tuned,3.0,0.679885017085538,0.8717993497848511,0.638452380952381,0.6372971923014443,0.4129761904761905,0.8967559523809524,0.8676298933780615
