experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__bert-base-uncased__fine_tuned,1.0,1.545556396484375,1.5511581897735596,0.2879761904761905,0.1649081081343315,1.5473809523809523,0.6131547619047619,0.30174603174603176
transformer__bert-base-uncased__fine_tuned,2.0,1.611376953125,1.6105473041534424,0.2,0.06666666666666667,1.4,0.65,0.0
transformer__bert-base-uncased__fine_tuned,3.0,1.608573486328125,1.6535128355026245,0.2,0.06666666666666667,2.0,0.5,0.0
transformer__bert-base-uncased__fine_tuned,4.0,1.6063370361328124,1.6494140625,0.2,0.06666666666666667,2.0,0.5,0.0
transformer__bert-base-uncased__fine_tuned,5.0,1.6067987060546876,1.6506544351577759,0.2,0.06666666666666667,2.0,0.5,0.0
