experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__roberta-base__fine_tuned,1.0,0.8528228149414062,0.8760496377944946,0.6356746031746032,0.6329015111433269,0.425515873015873,0.8936210317460318,0.8595063816550503
transformer__roberta-base__fine_tuned,2.0,0.7982481689453125,0.8353937268257141,0.6449206349206349,0.6441206863133944,0.4081746031746032,0.8979563492063491,0.8663694444997313
transformer__roberta-base__fine_tuned,3.0,0.7162930297851563,0.8474258780479431,0.6482539682539683,0.646856328085958,0.40166666666666667,0.8995833333333333,0.8719396627523007
