experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,1.0,0.8347383422851562,0.8362856507301331,0.6357142857142857,0.6384433510725696,0.4116666666666667,0.8970833333333333,0.8648576749135408
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,2.0,0.7722295532226563,0.8131055235862732,0.6463095238095238,0.6447632141706876,0.40273809523809523,0.8993154761904762,0.8724777339757629
transformer__nlptown__bert-base-multilingual-uncased-sentiment__fine_tuned,3.0,0.6793101196289062,0.8472365736961365,0.648968253968254,0.6479692790911491,0.39904761904761904,0.9002380952380953,0.8730426592362936
