experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.009505349211394787,0.00023781508207321167,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_2__logreg,bow,"word n-grams=(1, 2)",word_1_2,logreg,ok,60.47922164667398,2.3522763811051846,0.5706349206349206,0.5695412298235991,0.5276190476190477,0.868095238095238,0.8087528559048294,
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,104.11052137520164,3.1110741198062897,0.5921031746031746,0.5898499689113541,0.5021031746031746,0.8744742063492064,0.8181314246258278,
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,237.3397537386045,9.298222510144114,0.5846428571428571,0.5818417232608389,0.5209126984126984,0.8697718253968254,0.8065982418903072,
glove__average__logreg,glove,glove average,average,logreg,ok,25.865018707700074,0.04746564012020826,0.45611111111111113,0.4493774869485076,0.8052380952380952,0.7986904761904762,0.635999848993922,feature_seconds=56.28; vocab_cov=0.3329; token_cov=0.8537; loaded_vectors=39069
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,28.78949761390686,0.07838263269513845,0.48932539682539683,0.4844439509846209,0.7279761904761904,0.8180059523809524,0.6818664549029363,feature_seconds=111.21; vocab_cov=0.8222; token_cov=0.9846; loaded_vectors=96500
