family,representation,variant,classifier,cil_score,mae,accuracy,macro_f1,quadratic_weighted_kappa,train_seconds
tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,0.8744742063492064,0.5021031746031746,0.5921031746031746,0.5898499689113541,0.8181314246258278,104.11052137520164
tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,0.8697718253968254,0.5209126984126984,0.5846428571428571,0.5818417232608389,0.8065982418903072,237.3397537386045
bow,"word n-grams=(1, 2)",word_1_2,logreg,0.868095238095238,0.5276190476190477,0.5706349206349206,0.5695412298235991,0.8087528559048294,60.47922164667398
fasttext,fasttext average,average,logreg,0.8180059523809524,0.7279761904761904,0.4893253968253968,0.4844439509846209,0.6818664549029363,28.78949761390686
glove,glove average,average,logreg,0.7986904761904762,0.8052380952380952,0.4561111111111111,0.4493774869485076,0.635999848993922,25.865018707700077
majority,constant,most_frequent,dummy_most_frequent,0.5,2.0,0.2,0.0666666666666666,0.0,0.0095053492113947
