experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__distilbert-base-uncased__fine_tuned,1.0,1.032388916015625,1.0257556438446045,0.5672619047619047,0.5587747707848572,0.5563492063492064,0.8609126984126985,0.7915737391532507
transformer__distilbert-base-uncased__fine_tuned,2.0,1.05238916015625,1.1485458612442017,0.5106746031746032,0.4811744666923806,0.6618650793650793,0.8345337301587301,0.7528525847820899
transformer__distilbert-base-uncased__fine_tuned,3.0,0.9658948364257812,0.9873653054237366,0.5753571428571429,0.5735018846276143,0.5251587301587302,0.8687103174603175,0.8069528934643582
transformer__distilbert-base-uncased__fine_tuned,4.0,0.9290637817382813,0.9786627292633057,0.5858333333333333,0.5802100867853786,0.5185714285714286,0.8703571428571428,0.8111576592800409
transformer__distilbert-base-uncased__fine_tuned,5.0,0.8884830932617187,0.9696219563484192,0.5884126984126984,0.5847946370313399,0.5102777777777778,0.8724305555555556,0.8150676370768477
