experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__bert-base-uncased__fine_tuned,1.0,0.8453292846679688,0.8724440336227417,0.631031746031746,0.6300041956112912,0.4276587301587302,0.8930853174603175,0.8579513411364288
transformer__bert-base-uncased__fine_tuned,2.0,0.7817238159179688,0.8442577123641968,0.636984126984127,0.6345698405414308,0.42043650793650794,0.894890873015873,0.8621841288606473
transformer__bert-base-uncased__fine_tuned,3.0,0.6697450561523437,0.8811420202255249,0.6390476190476191,0.6375032712691628,0.4125,0.896875,0.8686955586622218
