model,cil_score_mean,cil_score_std,mae_mean,mae_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
textcnn,0.8788260582010582,0.0015146549546775595,0.48469576719576707,0.006058619818710167,0.5976058201058202,0.000983561452117545,0.5961855234636112,0.002991235188894091
bilstm,0.8658994708994708,9.217830598393331e-05,0.5364021164021164,0.00036871322393563165,0.5673809523809523,0.003756031514607579,0.5652190397402329,0.0013866568306000096
mlp,0.838584656084656,0.0019798150898393545,0.6456613756613757,0.007919260359357338,0.516957671957672,0.003906127433619176,0.5148076972323071,0.005901169822334272
