seed,experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
42,D1__fasttext__average__mlp,1,1.287451416693457,1.2207497937338694,0.4627777777777778,0.4628731701596061,0.7252777777777778,0.8186805555555555,0.6815398896502811
42,D1__fasttext__average__mlp,2,1.2128576324015488,1.172246875535874,0.491031746031746,0.4805508646008137,0.7092857142857143,0.8226785714285714,0.7046037707783273
42,D1__fasttext__average__mlp,3,1.1921178410292934,1.160790498748658,0.4954365079365079,0.4769202079524722,0.7191666666666666,0.8202083333333333,0.7072804892119534
42,D1__fasttext__average__mlp,4,1.1786716087364857,1.1858652427461411,0.4813492063492063,0.4807447797194337,0.7037698412698413,0.8240575396825397,0.7010402979618854
42,D1__fasttext__average__mlp,5,1.1704568699680309,1.1324153908472212,0.5128571428571429,0.5086946181579525,0.6532142857142857,0.8366964285714286,0.7310129971279754
42,D1__fasttext__average__mlp,6,1.1601407832695694,1.145390373260256,0.4940079365079365,0.4721953663565658,0.7328571428571429,0.8167857142857142,0.7025080274234141
42,D1__fasttext__average__mlp,7,1.1544362912438744,1.1321953588818747,0.5088095238095238,0.4914633479911739,0.6921031746031746,0.8269742063492064,0.7185063565974932
42,D1__fasttext__average__mlp,8,1.1466883064199378,1.1190317667855156,0.5156746031746032,0.5055821230805798,0.6679761904761905,0.8330059523809523,0.7265086506795306
42,D1__fasttext__average__mlp,9,1.1434368571360485,1.1132864183849758,0.5173809523809524,0.5041102125325245,0.6651587301587302,0.8337103174603174,0.7314707877321307
42,D1__fasttext__average__mlp,10,1.1389157505893204,1.114910835765657,0.5181349206349206,0.5047895942554088,0.6746825396825397,0.8313293650793651,0.7238733895803342
43,D1__fasttext__average__mlp,1,1.2802526410925326,1.205538584012834,0.4762301587301587,0.473677219801675,0.7169444444444445,0.8207638888888888,0.6975702390806837
43,D1__fasttext__average__mlp,2,1.209864112603391,1.1782131277568757,0.4939682539682539,0.4902074015417431,0.6894444444444444,0.8276388888888889,0.7098582775268649
43,D1__fasttext__average__mlp,3,1.190285625340026,1.1610295319178747,0.5006349206349207,0.4853293211280669,0.705,0.82375,0.7121097274860133
43,D1__fasttext__average__mlp,4,1.1779536214118702,1.1553392215002152,0.5028571428571429,0.496283698509472,0.6865079365079365,0.8283730158730158,0.7123710750576707
43,D1__fasttext__average__mlp,5,1.1670649548939296,1.140997390671382,0.5099206349206349,0.509170643642258,0.6519047619047619,0.8370238095238095,0.7281738085702844
43,D1__fasttext__average__mlp,6,1.1579778193081918,1.139257547817533,0.5121428571428571,0.500183288569373,0.690515873015873,0.8273710317460318,0.7102248152613029
43,D1__fasttext__average__mlp,7,1.1506629408141713,1.1199796046151056,0.5171825396825397,0.5080652280864518,0.6641666666666667,0.8339583333333334,0.7269734688724505
43,D1__fasttext__average__mlp,8,1.1449566224937506,1.1237135837191627,0.5176587301587302,0.5123873506150243,0.6496825396825396,0.837579365079365,0.7326969896046682
43,D1__fasttext__average__mlp,9,1.140250049520422,1.1182814115948148,0.5173809523809524,0.5152572263274179,0.6463492063492063,0.8384126984126984,0.7335132597981695
43,D1__fasttext__average__mlp,10,1.137737061325625,1.1095139446712676,0.5204761904761904,0.5088091669461521,0.6621825396825397,0.8344543650793651,0.7286303974769259
44,D1__fasttext__average__mlp,1,1.2878027179337894,1.204011300480555,0.4791269841269841,0.4722088717670265,0.7246825396825397,0.8188293650793651,0.6934124198962466
44,D1__fasttext__average__mlp,2,1.2116592043249277,1.198351863906497,0.4800396825396825,0.4823612040831325,0.6995238095238095,0.8251190476190476,0.6969142904100584
44,D1__fasttext__average__mlp,3,1.1910908883463138,1.169708909912715,0.4945238095238095,0.4817795706837018,0.7182539682539683,0.8204365079365079,0.6968649443780454
44,D1__fasttext__average__mlp,4,1.176792310608758,1.1506451300212317,0.5020634920634921,0.4951352886602054,0.6896428571428571,0.8275892857142857,0.7125875911373372
44,D1__fasttext__average__mlp,5,1.1670758082374697,1.1415674186888196,0.5088492063492064,0.4965708407619521,0.6948412698412698,0.8262896825396826,0.7067011260845486
44,D1__fasttext__average__mlp,6,1.1589535250907643,1.142247430786254,0.503968253968254,0.481364669225251,0.7279365079365079,0.8180158730158731,0.698208519945839
44,D1__fasttext__average__mlp,7,1.1529029631993126,1.1276992277871996,0.5122619047619048,0.5001958418417541,0.6904365079365079,0.827390873015873,0.7123981602552966
44,D1__fasttext__average__mlp,8,1.1460017093190862,1.1241532860861885,0.5137698412698413,0.5080506009476082,0.6667857142857143,0.8333035714285715,0.7189359064305004
