display_name,mean,std
"NLP-Town BERT
(fine-tuned)",0.3966931216931217,0.005695009005437658
"RoBERTa
(fine-tuned)",0.39698412698412694,0.005300107910689482
"BERT
(fine-tuned)",0.408042328042328,0.006846857794726591
"DistilBERT
(fine-tuned)",0.41371693121693115,0.004547822188136741
"NLP-Town BERT
(eval-only)",0.42369047619047623,0.00247944434155765
