experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.008632009994471446,0.0002979059936478734,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,43.078769284999,0.022041955002350733,0.5677777777777778,0.5640896439727134,0.5388888888888889,0.8652777777777778,0.803760372942337,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
bow__word_1_3__linear_svm,bow,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,265.4626438500127,0.025536687986459583,0.5121825396825397,0.5104493265016659,0.6517063492063492,0.8370734126984127,0.7358133607802775,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
bow__word_1_3__ridge_classifier,bow,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,1112.1131823600153,0.030745263007702306,0.4656746031746032,0.4637076549653113,0.7847222222222222,0.8038194444444444,0.6418087051759713,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
bow__word_1_3__complement_nb,bow,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.20499171101255342,0.019204790994990617,0.5621428571428572,0.543824108768434,0.5881746031746031,0.8529563492063492,0.7807291942809678,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,41.53527062298963,0.02141512298840098,0.5903571428571428,0.5859864947387582,0.5146428571428572,0.8713392857142856,0.810655588632252,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_word__word_1_3__linear_svm,tfidf_word,"word n-grams=(1, 3)",word_1_3,linear_svm,ok,20.962686881015543,0.014962582004955038,0.558015873015873,0.5537090241323711,0.5611904761904762,0.8597023809523809,0.7917260506143831,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_word__word_1_3__ridge_classifier,tfidf_word,"word n-grams=(1, 3)",word_1_3,ridge_classifier,ok,46.49803712000721,0.01848941098432988,0.5652777777777778,0.5589785781329277,0.5511111111111111,0.8622222222222222,0.7982436131386862,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_word__word_1_3__complement_nb,tfidf_word,"word n-grams=(1, 3)",word_1_3,complement_nb,ok,0.20470610601478256,0.015182985982391983,0.5648015873015872,0.5470096029800902,0.581468253968254,0.8546329365079365,0.7843043489811642,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,165.47671839001123,0.0902463170059491,0.5819444444444445,0.5775392662485687,0.5291269841269841,0.867718253968254,0.8036026012392334,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
tfidf_char__char_wb_3_6__linear_svm,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,linear_svm,ok,103.42139564899844,0.08508963297936134,0.5569444444444445,0.5508739415525676,0.5739285714285715,0.8565178571428571,0.7834391871946981,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
