experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.008632009994471446,0.0002979059936478734,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
bow__word_1_3__logreg,bow,"word n-grams=(1, 3)",word_1_3,logreg,ok,43.078769284999,0.022041955002350733,0.5677777777777778,0.5640896439727134,0.5388888888888889,0.8652777777777778,0.803760372942337,"feature_seconds=61.26; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_word__word_1_3__logreg,tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,ok,41.53527062298963,0.02141512298840098,0.5903571428571428,0.5859864947387582,0.5146428571428572,0.8713392857142856,0.810655588632252,"feature_seconds=58.49; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=13039425"
tfidf_char__char_wb_3_6__logreg,tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,ok,165.47671839001123,0.0902463170059491,0.5819444444444445,0.5775392662485687,0.5291269841269841,0.867718253968254,0.8036026012392334,"feature_seconds=89.28; train_shape=(226800, 250000); val_shape=(25200, 250000); train_nnz=91927628"
glove__average__logreg,glove,glove average,average,logreg,ok,30.533374983991962,0.06782474499777891,0.4603174603174603,0.45488363423581957,0.7978968253968254,0.8005257936507937,0.6365511668805552,feature_seconds=48.39; vocab_cov=0.3326; token_cov=0.8535; loaded_vectors=39050
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,31.0961584780016,0.0287944870069623,0.49472222222222223,0.4878377086536176,0.7301984126984127,0.8174503968253968,0.6791956470309912,feature_seconds=99.33; vocab_cov=0.8216; token_cov=0.9847; loaded_vectors=96478
