experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
transformer__distilbert-base-uncased__fine_tuned,1.0,0.8575513305664062,0.8764293193817139,0.6251587301587301,0.6245151634387396,0.43452380952380953,0.8913690476190477,0.8555383884002852
transformer__distilbert-base-uncased__fine_tuned,2.0,0.79879736328125,0.850341260433197,0.6301587301587301,0.6284074261551247,0.42714285714285716,0.8932142857142857,0.8588712887049271
transformer__distilbert-base-uncased__fine_tuned,3.0,0.7071370239257813,0.8680473566055298,0.6396428571428572,0.6378525606779059,0.41444444444444445,0.8963888888888889,0.8666562664534623
