family,representation,variant,classifier,cil_score,mae,accuracy,macro_f1,quadratic_weighted_kappa,train_seconds
tfidf_word,"word n-grams=(1, 3)",word_1_3,logreg,0.8746527777777777,0.5013888888888889,0.5955952380952381,0.5928391786405746,0.8167587922672578,48.16272067185491
tfidf_char,"char_wb n-grams=(3, 6)",char_wb_3_6,logreg,0.8692757936507937,0.5228968253968254,0.5838492063492063,0.5803989082158825,0.8059580308727298,185.7835667105392
bow,"word n-grams=(1, 3)",word_1_3,logreg,0.8675793650793651,0.5296825396825396,0.568968253968254,0.5682507818824234,0.8082878049742609,44.38595796748996
majority,constant,most_frequent,dummy_most_frequent,0.5,2.0,0.2,0.0666666666666666,0.0,0.0092087006196379
