experiment,family,representation,variant,classifier,status,train_seconds,predict_seconds,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa,notes
majority__most_frequent,majority,constant,most_frequent,dummy_most_frequent,ok,0.008864172006724402,0.0002516260137781501,0.2,0.06666666666666667,2.0,0.5,0.0,Always predicts the most frequent training label.
glove__tfidf_weighted__linear_svm,glove,glove tfidf_weighted,tfidf_weighted,linear_svm,ok,171.61668596600066,0.05230329799815081,0.4473412698412698,0.4267527261056109,0.8846825396825397,0.7788293650793651,0.5966548897436343,feature_seconds=46.04; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
glove__tfidf_weighted__ridge_classifier,glove,glove tfidf_weighted,tfidf_weighted,ridge_classifier,ok,0.8702523040119559,0.019676071999128908,0.44535714285714284,0.42444261443804854,0.8948015873015873,0.7762996031746032,0.589006485669882,feature_seconds=46.04; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
glove__mean_max__logreg,glove,glove mean_max,mean_max,logreg,ok,52.921961907995865,0.1134000460151583,0.4506349206349206,0.4429761674354272,0.8345634920634921,0.7913591269841269,0.6133123365484661,feature_seconds=45.60; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
glove__mean_max__linear_svm,glove,glove mean_max,mean_max,linear_svm,ok,342.477767526987,0.11714252998353913,0.47345238095238096,0.4556080843612517,0.8023809523809524,0.799404761904762,0.6464260438782732,feature_seconds=45.60; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
glove__mean_max__ridge_classifier,glove,glove mean_max,mean_max,ridge_classifier,ok,1.9990736999898218,0.0359369850193616,0.46476190476190476,0.4473073252129135,0.8262301587301587,0.7934424603174604,0.6295662657010399,feature_seconds=45.60; vocab_cov=0.3327; token_cov=0.8535; loaded_vectors=39121
fasttext__average__logreg,fasttext,fasttext average,average,logreg,ok,31.055743376986356,0.07968424601131119,0.4926984126984127,0.48573382218091954,0.7357539682539682,0.8160615079365079,0.6737728123426531,feature_seconds=97.72; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__average__linear_svm,fasttext,fasttext average,average,linear_svm,ok,124.52624571401975,0.058669883001130074,0.4907142857142857,0.474785185008381,0.7621428571428571,0.8094642857142857,0.66843201321317,feature_seconds=97.72; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__average__ridge_classifier,fasttext,fasttext average,average,ridge_classifier,ok,0.8930474779917859,0.015025731001514941,0.4869047619047619,0.4701997108911772,0.7773412698412698,0.8056646825396825,0.6571845433632596,feature_seconds=97.72; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__tfidf_weighted__logreg,fasttext,fasttext tfidf_weighted,tfidf_weighted,logreg,ok,31.592879714007722,0.04879234201507643,0.4661111111111111,0.46044867341549667,0.8022619047619047,0.7994345238095238,0.6301963954538969,feature_seconds=98.44; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__tfidf_weighted__linear_svm,fasttext,fasttext tfidf_weighted,tfidf_weighted,linear_svm,ok,95.06695079099154,0.08908270500251092,0.46154761904761904,0.44377343515533135,0.844484126984127,0.7888789682539683,0.618201830302062,feature_seconds=98.44; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__tfidf_weighted__ridge_classifier,fasttext,fasttext tfidf_weighted,tfidf_weighted,ridge_classifier,ok,0.9726216389972251,0.019317649013828486,0.4596031746031746,0.4413485109433181,0.8532936507936508,0.7866765873015873,0.6113635357158673,feature_seconds=98.44; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__mean_max__logreg,fasttext,fasttext mean_max,mean_max,logreg,ok,54.26917608600343,0.07365803301217966,0.47849206349206347,0.47098308939636163,0.7786111111111111,0.8053472222222222,0.6471907581715293,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__mean_max__linear_svm,fasttext,fasttext mean_max,mean_max,linear_svm,ok,247.2671483019949,0.0758893629827071,0.5034920634920635,0.48844912571776933,0.7310714285714286,0.8172321428571429,0.6860691076383554,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
fasttext__mean_max__ridge_classifier,fasttext,fasttext mean_max,mean_max,ridge_classifier,ok,1.9473054359841626,0.029084481997415423,0.4965079365079365,0.4816181767868203,0.7515873015873016,0.8121031746031746,0.6717696603828149,feature_seconds=102.00; vocab_cov=0.8222; token_cov=0.9847; loaded_vectors=96666
