experiment,epoch,train_loss,val_loss,accuracy,macro_f1,mae,cil_score,quadratic_weighted_kappa
D1__fasttext__average__mlp,1,1.2878027179337894,1.204011300480555,0.4791269841269841,0.4722088717670265,0.7246825396825397,0.8188293650793651,0.6934124198962466
D1__fasttext__average__mlp,2,1.2116592043249275,1.198351863906497,0.48003968253968254,0.48236120408313254,0.6995238095238095,0.8251190476190476,0.6969142904100584
D1__fasttext__average__mlp,3,1.1910908883463138,1.169708909912715,0.49452380952380953,0.48177957068370186,0.7182539682539683,0.8204365079365079,0.6968649443780454
D1__fasttext__average__mlp,4,1.1767923106087579,1.1506451300212315,0.5020634920634921,0.4951352886602054,0.6896428571428571,0.8275892857142857,0.7125875911373372
D1__fasttext__average__mlp,5,1.1670758082374695,1.1415674186888196,0.5088492063492064,0.4965708407619521,0.6948412698412698,0.8262896825396826,0.7067011260845486
D1__fasttext__average__mlp,6,1.1589535250907643,1.142247430786254,0.503968253968254,0.481364669225251,0.7279365079365079,0.8180158730158731,0.698208519945839
D1__fasttext__average__mlp,7,1.1529029631993126,1.1276992277871996,0.5122619047619048,0.5001958418417541,0.6904365079365079,0.827390873015873,0.7123981602552966
D1__fasttext__average__mlp,8,1.1460017093190862,1.1241532860861885,0.5137698412698413,0.5080506009476082,0.6667857142857143,0.8333035714285715,0.7189359064305004
D1__fasttext__average__mlp,9,1.1418490383696513,1.1113743579955329,0.5209920634920635,0.5164814038835001,0.6534920634920635,0.8366269841269841,0.7269770395889066
D1__fasttext__average__mlp,10,1.1377152641824524,1.114864264064365,0.5206349206349207,0.520471247211551,0.6374206349206349,0.8406448412698413,0.7348346641943555
D2__fasttext__pretrained_token_vectors__textcnn,1,1.1017760948613418,0.9871071184249152,0.5689285714285715,0.5492641537660813,0.5673015873015873,0.8581746031746031,0.7899740708729472
D2__fasttext__pretrained_token_vectors__textcnn,2,0.97812761413147,0.9614375345669095,0.5863095238095238,0.5782751132525226,0.5207539682539682,0.869811507936508,0.8107053668190172
D2__fasttext__pretrained_token_vectors__textcnn,3,0.945805545113915,0.9530816801389058,0.5861507936507937,0.5752379817898279,0.5261507936507936,0.8684623015873016,0.8055965354780374
D2__fasttext__pretrained_token_vectors__textcnn,4,0.9255896172111417,0.9426571815354483,0.5888492063492063,0.5905793218326407,0.49166666666666664,0.8770833333333333,0.8220016065580523
D2__fasttext__pretrained_token_vectors__textcnn,5,0.9096114245335681,0.9206751476393805,0.6002777777777778,0.5941442334299495,0.49253968253968256,0.8768650793650794,0.826114975643966
D2__fasttext__pretrained_token_vectors__textcnn,6,0.8960545537248911,0.9197885171950809,0.6005952380952381,0.5947739655359074,0.49063492063492065,0.8773412698412698,0.8268126687198205
D2__fasttext__pretrained_token_vectors__textcnn,7,0.8859535549263055,0.9291588875225613,0.5959523809523809,0.5912736617356111,0.49805555555555553,0.8754861111111111,0.8216597998822837
D2__fasttext__pretrained_token_vectors__textcnn,8,0.8763539579810289,0.9263024870554606,0.5980555555555556,0.5896577260026682,0.5002777777777778,0.8749305555555555,0.8243699589740727
D2__fasttext__pretrained_token_vectors__textcnn,9,0.864434728988264,0.9284880606711857,0.5971825396825396,0.5948357700192851,0.49007936507936506,0.8774801587301587,0.8259453946336106
D2__fasttext__pretrained_token_vectors__textcnn,10,0.8562622059337677,0.9275937392976549,0.5919047619047619,0.5883676982565736,0.4957142857142857,0.8760714285714286,0.8238438344363082
D3__fasttext__pretrained_token_vectors__bilstm,1,1.1878246083545516,1.1086506769392226,0.5156746031746032,0.49868906969329074,0.685952380952381,0.8285119047619047,0.7197767801248457
D3__fasttext__pretrained_token_vectors__bilstm,2,1.0882503882455237,1.0551156145428855,0.5392460317460317,0.5331884748893327,0.6052777777777778,0.8486805555555555,0.7642819743919272
D3__fasttext__pretrained_token_vectors__bilstm,3,1.054211697881184,1.041485414353628,0.547063492063492,0.5421699467283553,0.589920634920635,0.8525198412698413,0.7733495820401013
D3__fasttext__pretrained_token_vectors__bilstm,4,1.0328534463515777,1.0339828094603523,0.5473412698412699,0.5523036376147445,0.5577380952380953,0.8605654761904762,0.7865453073593972
D3__fasttext__pretrained_token_vectors__bilstm,5,1.0201070663579979,1.0046138650651961,0.5611111111111111,0.5562084413366906,0.5509126984126984,0.8622718253968253,0.7983579355259498
D3__fasttext__pretrained_token_vectors__bilstm,6,1.0082712233423976,1.0128077106627207,0.5536111111111112,0.5502821850509406,0.5668253968253968,0.8582936507936508,0.7830472868524317
D3__fasttext__pretrained_token_vectors__bilstm,7,0.9988376224945041,0.9941171979525733,0.5667460317460318,0.5566309675890244,0.5538888888888889,0.8615277777777778,0.7995157026932106
D3__fasttext__pretrained_token_vectors__bilstm,8,0.9912030200016352,1.0035300104201785,0.5640079365079365,0.5659281976064328,0.5362301587301588,0.8659424603174604,0.8004030429744572
D3__fasttext__pretrained_token_vectors__bilstm,9,0.9845437210997997,0.9849618947695172,0.5688095238095238,0.5626148411517262,0.5430158730158731,0.8642460317460318,0.8026825011382608
D3__fasttext__pretrained_token_vectors__bilstm,10,0.9799088803002023,0.9770778513333154,0.5716269841269841,0.5650886226362644,0.5413888888888889,0.8646527777777777,0.8024603737875562
