model,best_epoch_train_loss_mean,best_epoch_train_loss_std,best_epoch_val_loss_mean,best_epoch_val_loss_std,mae_mean,mae_std,cil_score_mean,cil_score_std
mlp,1.149474061223635,0.01821578934002914,1.1218536888354669,0.009304911947462741,0.6456613756613757,0.007919260359357338,0.838584656084656,0.0019798150898393545
textcnn,0.8654514264836163,0.00089788612983454,0.9263979141800491,0.005327060403735406,0.48469576719576707,0.006058619818710167,0.8788260582010582,0.0015146549546775595
bilstm,0.9892171648976943,0.008012780216256338,0.9925247538783563,0.00994022420528024,0.5364021164021164,0.00036871322393563165,0.8658994708994708,9.217830598393331e-05
